企業名,法人番号,採用中,発見媒体,求人件数,採用職種,取得日,根拠
株式会社パソナジョイナス,1120001062472,○,求人ボックス,25,建築施工管理/一般事務・OA事務／東京駅直結で雨でも快適サポート事務電話少/データ入力・タイピング／週4日勤務 人気の官公庁でオシゴト電/一般事務・OA事務／谷町四丁目大手テレビ局でサポート事務残業/一般事務・OA事務／紹介予定派遣大手テレビ局でのサポート事務,2026-06-14,job-engine-hit
積水ハウス不動産株式会社,1120001062571,○,求人ボックス,4,博多駅徒歩1分／経理担当 積水ハウスG／年休129日 土日祝/「東京吉祥寺」S造集合住宅の意匠設計/渋谷／発注者／不動産開発の技術プロジェクトマネジメント 休1/「兵庫／施工管理／戸建て」「木造・S造」戸建ての施工管理／関,2026-06-14,job-engine-hit
株式会社きんでん,1120001063033,○,求人ボックス,25,電気施工管理／プライム上場企業／年休127日／土日祝休／リモ/「管理職候補／土木施工管理・技術士」電力安定供給設備設置案件/「電気計装技術者／東証プライム」1944年創業 総合設備のリ/調理師／常勤／学童／太田川 名鉄常滑線/「建築技術者監理技術者／施工管理／東証プライム」創業75年の,2026-06-14,job-engine-hit
大成機工株式会社,1120001066556,○,求人ボックス,6,梅田／役員運転手 年休128日／土日祝休／残業5h／基本日勤/サービスエンジニア/2028 インターンシップ 電力・ガス・水道・エネルギー/2027 新卒採用 金属製品/サービスエンジニア見習い／学歴不問／実務未経験歓迎／完全週休,2026-06-14,job-engine-hit
東洋紡エンジニアリング株式会社,1120001067827,○,求人ボックス,4,栃木／宇都宮／建築設計技術者 発注側／未経験歓迎／転勤なし／/創業140年以上の安定企業で活躍! 製造スタッフ/未経験OK! 検査スタッフ 新築の独身寮完備 家具家電付き/製造スタッフ／未経験歓迎／残業月平均14時間／賞与4.23ヶ,2026-06-14,job-engine-hit
阪神千代田株式会社,1120001069253,○,求人ボックス,2,大手企業物流倉庫の設備管理スタッフ/物流倉庫の設備管理スタッフ,2026-06-14,job-engine-hit
株式会社ＣＹＬＬＥＮＧＥ,1120001070120,○,求人ボックス,1,年収750万円スタートも目指せる 総合職 労務／経理 年休1,2026-06-14,job-engine-hit
小泉産業株式会社,1120001077413,○,求人ボックス,3,施工管理募集!創業39年「民間×公共」の両輪で社会に貢献/大阪／本町／Webマーケター 自社ECサイトの立ち上げ／年1/大阪／WEBマーケティング,2026-06-14,job-engine-hit
井澤金属株式会社,1120001077347,○,求人ボックス,10,法人営業/営業職/倉庫作業員 名古屋／転勤なし 年休126日/2027 新卒採用 商社／鉄鋼・金属/法人営業／土日祝休み／ブランクOK／フリーターOK／転勤なし,2026-06-14,job-engine-hit
株式会社関西アーバン銀行（閉鎖）,1120001076365,,,,,2026-06-14,not-found
株式会社リヒトラブ,1120001077594,○,求人ボックス,2,28卒 ／ オープン・カンパニー&キャリア教育等/2027 新卒採用 文具・事務機器関連,2026-06-14,job-engine-hit
