企業名,法人番号,従業員数,業種,都道府県
株式会社三橋商会,1120001090515,374,総合ビルメンテナンス業 ・清掃管理業務 ・設備業務 ・グリーン管理業務,大阪府大阪市中央区本町２丁目３番１４号
株式会社ＭＣエバテック,1140001048230,479,【炭素材事業】 活性炭・高機能活性炭の開発・製造、活性炭再生 【精密洗浄事業】 半導体・ＰＤＦ・太陽電池製造装置等の,兵庫県尼崎市潮江１丁目２番６号
千葉ビル・メンテナンス株式会社,2040001054287,398,ビル総合管理,千葉県市原市君塚３丁目８番地１９
フロンティア・マネジメント株式会社,1010001121867,433,経営コンサルティング事業・ファイナンシャル・アドバイザリー事業・再生支援事業・制度関連助言業務・教育研修事業・資金支援業,東京都港区六本木３丁目２番１号
株式会社図研,2020001008807,456,製造業における製品設計・開発業務全体の高度化・最適化を支援する、各種ITシステムの開発・製造・販売や、コンサルティングサ,神奈川県横浜市都筑区荏田東２丁目２５番１号
ジェイ・アール・シー特機株式会社,2020001020489,364,,神奈川県横浜市港北区新吉田東３丁目２番１号
株式会社エス・ビー・エム,1080001009767,385,綜合ビル管理,静岡県静岡市清水区大坪１丁目４番１１号
東濃建物管理株式会社,1200001017955,307,建物総合管理,岐阜県可児市広見２丁目５７番地
ジャパンマテリアル株式会社,2190001015191,429,①エレクトロニクス関連事業 ②グラフィックスソリューション事業,三重県三重郡菰野町大字永井３０９８番２２
熊本ダイハツ販売株式会社,3330001001507,398,自動車販売及び整備その他,熊本県熊本市南区平田２丁目８番７０号
サンセイ医機株式会社,1380001009159,310,医療機器・診療材料卸売業,福島県郡山市昭和２丁目１１番５号
新常磐交通株式会社,2380001013060,374,乗合バス事業、貸切バス事業 自動車教習事業、不動産事業、車両整備・販売・保険事業 燃料等販売事業、観光事業,福島県いわき市明治団地４番地の１
キャタピラー九州株式会社,1290001079293,442,キャタピラージャパン(株)九州地区特約販売店 キャタピラー社・キャタピラージャパン及び三菱重工製の建設機械（油圧ショベル,福岡県筑紫野市針摺東３丁目６番１号
明星工業株式会社,1120001049032,358,断熱工事業　（保温・保冷、築炉耐火、断熱耐火被覆、原子力その他）,大阪府大阪市西区京町堀１丁目８番５号
大阪有機化学工業株式会社,1120001093014,467,有機化学工業品・有機試薬品・医農薬中間体・石油化学製品・特殊ポリマーの製造販売、溶剤類の精製加工,大阪府大阪市中央区安土町１丁目８番１５号
笹徳印刷株式会社,1180001069322,342,,愛知県豊明市栄町大脇７番地
株式会社ニチダイ,2130001038818,383,精密鍛造金型の開発・製造・販売 精密部品の組立て 積層焼結金網フィルタの開発・製造・販売,京都府京田辺市薪北町田１３番地
東北特殊鋼株式会社,2370001002444,409,特殊鋼製造販売,宮城県仙台市太白区長町７丁目２０番１号
マスプロ電工株式会社,1180001067276,517,電気機械器具製造販売,愛知県日進市浅田町上納８０番地
ホシザキ北九株式会社,1290001016577,516,業務用厨房機器の販売及びメンテナンス,福岡県福岡市博多区博多駅南３丁目１８番９号
株式会社セイビ九州,1290001014110,996,ホテル清掃・建物管理など,福岡県福岡市博多区博多駅前１丁目１９番３号
株式会社クリーンコーポレーション,1430001005061,713,総合ビルメンテナンス,北海道札幌市中央区南二十二条西６丁目２番２５号エムズ南２２条第３ビル４階
ミツワ電機株式会社,1010001058408,909,電設資材・住宅設備機器の総合商社,東京都中央区東日本橋２丁目２６番３号
東洋炭素株式会社,1120001050238,961,1. 等方性黒鉛その他特殊炭素製品および一般カーボン製品の製造、販売および関連する加工事業 2. 炭素とセラミックス、金,大阪府大阪市西淀川区竹島５丁目７番１２号
株式会社翻訳センター,1120001089458,521,翻訳サービス,大阪府大阪市中央区久太郎町４丁目１番３号
ＪＦＥ東日本ジーエス株式会社,1020001072119,990,○総合ビルマネジメント ○施設管理 ○セキュリティサービス（常駐、巡回、機械警備） ○造園・土木工事 ○緑化維持管理 ○,神奈川県川崎市川崎区池上新町３丁目４番３号
株式会社日興商会,1140001050558,650,印刷・事務用品販売業 オフィス家具・OA機器の販売,兵庫県尼崎市東難波町５丁目１０番３０号
ニチコン株式会社,2130001022029,581,アルミ電解コンデンサ、フィルムコンデンサ、 正特性サーミスタ“ポジアール?”、Ｖ２Ｈシステム、 家庭用蓄電システム、ＥＶ,京都府京都市中京区烏丸通御池上る二条殿町５５１番地
ワールドビジネスセンター株式会社,2130001012070,634,システム運用管理、システム開発、ネットワークシステムの保守、コンピュータ及び周辺機器・消耗品等の販売、パッケージソフトの,京都府京都市南区西九条東御幸田町２５番２
田辺薬局株式会社,1010001090468,623,調剤薬局の運営,東京都中央区築地４丁目３番８号
中国塗料株式会社,1240001028478,519,塗料製造販売,広島県大竹市明治新開１番７
株式会社有沢製作所,1110001018789,670,電子材料、産業用構造材料、電気絶縁材料、ディスプレイ材料などの製造・販売,新潟県上越市南本町１丁目５番５号
環境をサポートする株式会社きらめき,1110001001720,832,ビルメンテナンス・清掃・警備・指定管理者,新潟県新潟市中央区東堀前通６番町１０６１番地
株式会社共和コーポレーション,1100001000797,961,アミューズメント施設・バッティングセンター・ ボウリング場の運営／ゲーム関連機器の販売／ アミューズメント施設管理委託／,長野県長野市若里３丁目１０番２８号
株式会社ＵＬ　Ｊａｐａｎ,1190001006514,600,製品安全試験・認証、EMC（電磁環境両立性）測定・評価、セミナー提供,三重県伊勢市朝熊町４３８３番３２６
昭和コンクリート工業株式会社,2200001002601,792,ＰＣ橋梁・コンクリート二次製品などの設計施工製造販売,岐阜県岐阜市香蘭１丁目１番地
株式会社扇港電機,2190001015290,925,電気設備資材・機器卸売,三重県四日市市北浜町８番１６号
タカラバイオ株式会社,1160001002490,800,研究用試薬、理化学機器の開発製造販売、再生医療等製品の開発製造支援サービス、遺伝子解析受託サービス、遺伝子治療の臨床開発,滋賀県草津市野路東７丁目４番３８号
株式会社近畿予防医学研究所,2160001000535,588,臨床検査事業 調剤薬局事業 福祉用具、介護用品の販売、レンタル事業 サービス付き高齢者向け住宅の事業 通所介護、訪問介護,滋賀県大津市湖城が丘１９番９号
株式会社新来島どっく,1010001045595,850,各種船舶の建造、修理及び解体、船舶用機器並びにその他諸機械の製造及び修理,愛媛県今治市大西町新町甲９４５番地
福島日産自動車株式会社,2380001001511,640,自動車販売（新車・中古車・フォークリフト） 自動車整備、自動車部品・用品販売,福島県福島市北町２番３２号
株式会社スマイルクルー,1020001094146,438,労働者派遣事業、 有料職業紹介事業、 保育園及び学童保育運営・受託事業、 保育士、外国語講師の育成・指導及び養成に関する,神奈川県横浜市神奈川区栄町３番地４パシフィックマークス横浜イースト１１階
株式会社京滋マツダ,2130001024529,410,自動車販売 自動車修理 自動車レンタル 損害保険代理業,京都府京都市南区吉祥院向田西町１番地
南北ビルセイビ株式会社,1120001039363,386,ビルメンテナンス業 ・ビルクリーニング ・設備保守管理 ・施設警備 ・環境衛生管理 ・植栽管理,大阪府大阪市浪速区難波中２丁目７番１０号
株式会社嘉文,1180001014286,300,飲食店・生鮮食品販売,愛知県名古屋市南区明治２丁目４番６号
株式会社近藤紡績所,1180001035935,328,繊維工業及び繊維製品の輸入販売、不動産貸付,愛知県名古屋市中区丸の内２丁目１８番２５号
ラブリー株式会社,1020001012776,462,一般衣料クリーニング業・リラクゼーションサロン・ネイルサロンの運営,神奈川県横浜市西区中央２丁目３９番１２号
中央精版印刷株式会社,1030001020480,391,一般書籍の印刷・製本加工,埼玉県戸田市美女木東１丁目１番地の１１
阪神高速トール神戸株式会社,1140001028546,417,有料道路における料金収受業務,兵庫県神戸市中央区雲井通４丁目２番２号
アーキスプランニング株式会社,1130001004300,428,ビルの総合的な管理,京都府京都市南区西九条東島町１７番地１１
株式会社成基,1130001003203,439,学習塾の運営 保育園の運営,京都府京都市中京区烏丸通二条上る蒔絵屋町２６５番地２ＳＣＧビル
株式会社ルルアーク,1290001003427,385,アミューズメント施設の企画・運営 カプセルトイショップの企画・運営,福岡県福岡市東区松島３丁目３０番２３号
株式会社ニューオータニ九州,1290001010423,385,宿泊業,福岡県福岡市中央区渡辺通１丁目１番２号
積水ハウス建設九州株式会社,1290001017773,317,積水ハウスの新築・リフォーム 在来住宅のリフォーム・エクステリア他,福岡県福岡市博多区井相田２丁目１０番１３号
株式会社大富,1290001036286,373,一般貨物自動車運送事業,福岡県古賀市薬王寺１３４８番地１
株式会社あいネットサービス,1080001002251,440,冠婚葬祭業及び介護・ホテル事業,静岡県静岡市駿河区宮本町８番１０号
株式会社中島屋ホテルズ,1080001002895,468,ホテル・レストランの経営及び運営,静岡県静岡市葵区紺屋町３番地の１０
清和海運株式会社,1080001008463,430,一般港湾運送事業、倉庫業、通関業、船舶代理店業、航空貨物取扱業、自動車運送取扱業,静岡県静岡市清水区日の出町４番１８号
株式会社ユーマート,1080001009379,408,スーパーマーケット、お持ち帰り寿司の製造・販売、酒類販売,静岡県静岡市清水区有東坂２丁目５１４番地の１
株式会社明乳松浦,1240001032356,350,牛乳・乳製品の卸売・小売 （自動販売機管理・牛乳配達ほか）,広島県福山市南蔵王町２丁目１２番２２号
おのみちバス株式会社,1240001039244,330,客自動車運送事業（路線バス・貸切バス）、総合旅行業、売店業、受託事業（千光寺山ロープウェイ・尾道市放課後児童クラブ運営等,広島県尾道市東尾道１８番地１
仙台交通株式会社,1370001002420,311,?地下鉄関連施設及び車両の保守管理 ?バス・地下鉄関連施設及び地下鉄車両の清掃 ?バス車両整備 ?乗車券販売等及び乗客サ,宮城県仙台市泉区泉中央１丁目８番地の３
国分東北株式会社,1370001001380,328,,宮城県仙台市宮城野区榴岡５丁目１番３５号５階
弘進ゴム株式会社,1370001002973,334,ゴム・プラスチック製品の製造卸売,宮城県仙台市若林区河原町２丁目１番１１号
株式会社加賀田組,1110001001051,433,総合建設業,新潟県新潟市中央区万代４丁目５番１５号
日軽新潟株式会社（閉鎖）,1110001006604,421,アルミニウム関連製品の製造・販売,新潟県新潟市北区太郎代１５７２番地１９
株式会社ワイエムフーズ,1110001011546,330,鶏卵加工品の製造販売,新潟県阿賀野市京ヶ瀬工業団地３６１０番地１５７
株式会社津山商店,1110001026412,330,福祉・医療・学校・事業所等の給食業務の受託 各種イベントのプロデュースおよびケータリングサービス 給食材料の供給,新潟県南魚沼市浦佐５５８２番地１
株式会社クリエイティブヨーコ,1100001000847,500,ペットグッズ、なごみ雑貨の企画販売,長野県長野市大字高田６６７番地１６
マルイチ・ロジスティクス・サービス株式会社,1100001004732,375,普通倉庫業 冷蔵倉庫業 物流センター業務受託,長野県長野市市場３番地４３
アート梱包運輸株式会社,1100001010739,310,・一般貨物運送事業 ・納入代行事業 ・倉庫業 ・貨物自動車取扱事業 ・アグリ事業,長野県東御市八重原３５１０番地１
多摩川マイクロテップ株式会社,1100001022305,368,ＨＶ自動車用角度センサ（エンジン部，パワーステアリング部）、鉄道車輌用センサ（速度，車体傾斜，車軸温度）、航空機用モータ,長野県飯田市毛賀１０２０番地
株式会社喜久家,1200001001546,321,株式会社喜久家 資本金 5000万円 事業内容　遊技場経営、貸ビル不動産業、飲食事業 設立 1952年(昭和27,岐阜県岐阜市神田町９丁目１６番地
