企業名,法人番号,業種,都道府県,従業員数,設立年,補助金,代表者名,公式URL
株式会社秀光,1020001077472,家具類製造・加工・販売,神奈川県川崎市幸区堀川町５８０番地,120,1947,,佐久間悠太,http://www.shukoh.co.jp/
東芝電波プロダクツ株式会社,1020001081053,レーダ等電波応用機器の製造・整備,神奈川県川崎市幸区小向東芝町１番地,599,1963,,古谷敏昭,
株式会社ニッツウ警備保障,1020001086432,,神奈川県川崎市多摩区登戸新町１３番地２,100,1993,,中野滋夫,
株式会社光洲産業,1020001077704,産業廃棄物の収集・処理,神奈川県川崎市高津区久地４丁目１０番１１号,200,1982,,光田興熙,http://www.koushuu-sangyou.com/
株式会社スマイルクルー,1020001094146,"労働者派遣事業、
有料職業紹介事業、
保育園及び学童保育運営・受託事業、
保育士、外国語講師の育成・指導及び養成に関する",神奈川県横浜市神奈川区栄町３番地４パシフィックマークス横浜イースト１１階,438,2012,,岡田純一,https://smilecrew.co.jp/
アイ・ティー・エックス株式会社,1020001108657,"1.移動体販売
2.固定通信回線
3.ソリューション事業
4.サービス＆ソリューション",神奈川県横浜市西区みなとみらい２丁目３番３号,2487,2014,,野尻幸宏,https://www.itx-corp.co.jp/company/health.html
株式会社グッドライフ,1021001000589,食料品・日用雑貨品小売業,神奈川県藤沢市鵠沼東２番３号,250,1992,,荒田栄作,
株式会社エイアンドティー,1021001002692,,神奈川県藤沢市遠藤２０２３番地１,607,1978,,三坂成隆,https://www.aandt.co.jp
株式会社クエリー,1021001019662,"情報処理サービス（ソフトウェア開発および受託）
コンピュータの導入および利用に関するコンサルティング
コンピュータ・通信",神奈川県横浜市西区みなとみらい４丁目６番２号みなとみらいグランドセントラルタワー４階,130,1996,,伊藤隆幸,https://www.query.jp/health/
株式会社オービーエム管財,1021001032459,ビル総合管理,神奈川県小田原市風祭７２番地１,319,1975,,杉崎勝彦,
株式会社西原商会九州,1290001038480,業務用総合食品卸,福岡県糟屋郡粕屋町戸原北４丁目１番１号,767,1996,,西原一将,
株式会社スマイル企画,1290001045015,,福岡県福岡市博多区綱場町７番１号ＦＯＲＣＡＳＴ博多呉服町９階,300,2009,,年岡裕也,
新生ビルメンテナンス株式会社,1290001048950,総合ビル管理,福岡県久留米市宮ノ陣４丁目３０番１号,260,1987,,園田繁博,http://www.sinsei-bm.com/
株式会社ＹＤＫテクノロジーズ,1021001022880,"環境計測事業
航海事業
航空・宇宙事業
燃焼事業
防衛事業",神奈川県秦野市曽屋５００番地,729,1960,,日比野隆也,https://www.ydktechs.co.jp/jp/
株式会社筑水キャニコム,1290001055179,農業用・土木建設用・林業用運搬車・草刈作業車及び産業用機械の開発製造販売,福岡県うきは市吉井町福益９０番地－１,311,1955,,包行良光,http://www.canycom.jp
株式会社平川燃料,1290001054387,SS事業他,福岡県大牟田市大字草木９９８番地１,231,1962,,平川一幸,https://www.hirakawa-1147.jp/
株式会社ＱＣＬ,1290001058636,,福岡県福岡市東区松島１丁目４４番１２号,639,2012,,瀧川秀則,
株式会社ザイマックス九州,1290001062968,"(1) 　不動産の所有、売買、賃貸、管理、仲介、コンサルティング及び鑑定
(2) 　オフィスビル・商業施設などの不動産に",福岡県福岡市博多区博多駅前４丁目２番１号,165,2013,,原田徹哉,
ＡＴＵホールディングス株式会社,1290001060575,警備にかかわる業務全般。施設来場者とその周辺の安全を守るお仕事、道路が混雑しないように人や車を案内するお仕事です。,福岡県福岡市博多区博多駅前４丁目３３番１号ＫＭビル３Ｆ,84,2012,,岩崎龍太郎,https://atu.co.jp/
キャタピラー九州株式会社,1290001079293,"キャタピラージャパン(株)九州地区特約販売店
キャタピラー社・キャタピラージャパン及び三菱重工製の建設機械（油圧ショベル",福岡県筑紫野市針摺東３丁目６番１号,442,2017,,林賢一,https://www.cat-kyushu.co.jp/
エイジス九州株式会社,1290001100091,"棚卸代行サービス
リテイルサポート",福岡県福岡市博多区金の隈２丁目２４番１０号,811,2023,,福田賢司,
